name,speech
Donald Trump,"Very shortly, very, very shortly, it was over, we had a 100% of the Caliphate, and these people we’re screwing around for years. Obama, President Obama. My generals did a great job, I flew there, I flew to Iraq, remember? I’m an Air Force One and they notified me, “Sir, we’re 45 minutes out, sir. We have to close all windows, we have to turn off all lights in the plane, sir. All windows, all lights have to be off, sir. We’re turning off the lights outside and the runway light, sir. They going to be in a very dim”… Frankly, if you’re not at 30-year old pilot you can’t see them, because I went there, I said, “I don’t see any light pilot.” As we’re landing, I said, “I don’t see.”"
Donald Trump,"And then I thought to myself, think of it, we’ve spent almost $8 trillion in the Middle East and we got to turn off the lights of an airplane to land, how bad is that? They didn’t do their job. We did our job, and the military did their job. But we fight to short of just keep going, we don’t fight to win, I fight to win. I fight to win. So we land in this big, beautiful Air Force One and I’m saying, “Major, I don’t see a runway.” Yes sir, it’s right up ahead, the guy’s 30 years old or something. They’ll get me that, they’ll say majors aren’t 30, maybe he’s 35 whatever he is. They’re saying, “Yes sir, it’s right there.”"
Donald Trump,"I don’t see it major, how about lifting up, let’s go around. That’s the last thing we want to do in that part of the world. He said, “Sir, it’s right there, sir.” And we’re landing and I still haven’t seen a light. But these guys, we have the greatest pilots in the world, we have the greatest military in the world, we have the greatest equipment in the world. So you must never forget the 2020 election is all about one thing, you. It’s about you. It’s about your family, it’s about your future, and the fate of your beautiful, loving, country, and that’s what it is."
Donald Trump,"We begin our North Carolina campaign with the best record, the best results, the best agenda, and the only positive vision for our nation’s future. We love our nation, our nation is great today. It’s going to be much greater, every year it’s getting better, and better. We have turned this big, beautiful, mighty ship, we have turned it around, it’s getting better, better, better. Together we will continue on unleashing the power of American enterprise so every American can know the dignity of work and the pride of a paycheck."
Donald Trump,"With your help, we will elect a Republican Congress, those great gentlemen that just left the stage. To create a safe, modern fair and lawful system of immigration, we will enact trade deals and they are going like you won’t even believe. That doesn’t mean the other countries are thrilled with me, there was a recent poll, Germany likes Obama better than Trump. A lot better. I said, “Of course, because  positive vision for our nation’s future. We love our nation, our nation is great today. It’s going to be much greater, every year it’s getting better, and better."
Donald Trump,"We have turned this big, beautiful, mighty ship, we have turned it around. It’s getting better, better, better. Together we will continue unleashing the power of American enterprise so every American can know the dignity of work and the pride of a paycheck. With your help, we will elect a Republican Congress, those great gentlemen that just left the stage. To create a safe, modern, fair and lawful system of immigration, we will enact trade deals and they are going like you won’t even believe. That doesn’t mean the other countries are thrilled with me, there was a recent poll, Germany likes Obama better than Trump."
Donald Trump,"A lot better. I said, “Of course, because I’m making them pay their bills.” I’m saying you got to pay. I say, “Anguilla, Anguilla, you got to pay, Anguilla.” Obama would go in, make a speech, leave. I go in and make a speech, I say, Let me speak to Anguilla. Anguilla you got to pay your bills, you’re way behind.” So I would think that they should, they should all like… When you hear they like me better, I’m not doing my job. It’s true, I’m not doing my job. They did a poll on one of these networks, and they would say, “Donald Trump is not liked in Europe nearly as much as President Obama.”"
Donald Trump,"I said, “Or President Bush, or anybody.” In fact I’m disliked, but actually they respect us, that’s more important. Look at that beautiful baby, look at that beautiful baby. Wow, what a baby? What a baby? That is a beautiful baby. That’s like from an advertisement, perfect. Look how happy that baby is, so beautiful. Thank you darling, that’s really nice. It’s a great thing, is that your husband? That’s a great thing, thank you. Congratulations husband. What a picture? But we’re going to have the country all set for your child, okay? Awesome, because that’s what it’s about."
Donald Trump,"Now the media will say that’s a prop, they say no baby is so beautiful. That had to be a set up. I never saw that guy in my life, which is true. Thank you. Good luck. Thank you very much. We will enact trade deals that ensure more products are proudly stamped with those four beautiful words, made in America, made in the USA, either one is okay with me. Keep America great, that’s right. We will give school choice to millions of underserved children who are trapped in failing government schools. We will defend privacy, free speech, religious liberty, and the right to keep and bear arms."
Donald Trump,"They’re going to take your guns away. Above all, we will never stop fighting for the values that bind us together as one great nation, as one America. It’s one America. We believe in the American constitution and we believe in the rule of law, we believe in the dignity of work and in the sanctity of life. We believe that faith and family, not government and bureaucracy, are the true American way. We believe that children, like your child, should be taught to love our country, honor our history, and always respect our great American flag."
Donald Trump,"And we live by the words of our national motto, “In God we trust.” We are fighting for every American mom and dad who wants to protect this land of liberty for their precious children. We have been blessed with the greatest republic on the face of the earth, but it was going in the wrong direction, and now we are turning it around, it is going better than ever before and we going to keep it that way. We’re going to keep it that way. With your help, with your devotion, with your drive, we are going to keep on working, we are going to keep on fighting, and we are going to keep on winning."
Donald Trump,"We are one movement, one movement, think of that, we are one big beautiful movement. There has never been a movement like this, you don’t hear it that often. They know it but you don’t hear… In the history of our country, there has never been a movement like this, and this movement is stronger now than it was three years ago. This is the strongest movement in the history of our country. But we are, we’re one movement, we’re one people, one family, and one glorious nation under God. We’re doing things that nobody thought was possible, no other nation thought it was possible what we’re doing."
Donald Trump,"We are so respected, you have no idea how our nation has gone so far up in the eyes and the minds of the rest of the world. So respected. Because together, we will make America wealthy again, of course, we did just hit the highest price in the history of the market. So pretty soon, and I hate to say, I don’t want to ruin the rhetorical skill, but that is sort of like getting a little obsolete, we will make our nation wealthy again. The fact is we have the strongest stock market in our history, so I think I’ll have to change it."
Donald Trump,"You’ve all heard it many times, right, we will make America wealthy again, we’re going to have to say, “We have made America wealthy again.” So here’s one, we will make America strong again. No, no, we’re going to have to change this, we have made America strong again. And just so you know, we have made America great again. Give up MAGA. How do you give up MAGA? Make America great again, but we’ve done that. Can you imagine if keep America great didn’t work? I had the greatest phrase probably in the history of politics in this country."
Donald Trump,"Look at her beautiful hat, it looks very good on you. But look at this, look at those beautiful hats. Make America great again, but we’ve done that. Our new phrase for the 2020 campaign is, “Keep America Great.” Thank you."
Donald Trump,(singing).
Crowd,(singing)
Crowd,USA. USA. USA. USA. USA. USA. USA.
President Trump,"Thank you all. Thank you very much. Thank you to Vice President Mike Pence, and hello Cincinnati. You know, I used to work in Cincinnati, a place called Swifton Village. You know what that is? Swifton Village? It was good and it worked out well, and it gives you confidence when things work out well at a young age, and look what happened to all of us, right? Look what happened. Look what happened. I was watching the so-called debate last night, and I also watched the night before that was long, long television. The Democrats spent more time attacking Barack Obama than they did attacking me practically. This morning, that’s all the fake news was talking about. It’s all they were talking about."
President Trump,"That wasn’t pretty. No, we’re doing good. It’s great to be back in the state that I love. I love this state. Very special. Very, very special, on the banks of the beautiful Ohio River with the hardworking patriots of the American heartland. Thank you, Ohio. We love you, Ohio. We’ve got thousands of people standing outside, and I asked the officials can we sneak some up along the aisles? Can they sit on the stairs? But I’ll tell you what, this is some crowd, some turnout. We’ve sold tens of thousands of tickets. And, you know what the sale price is? We keep it nice and low. We keep it nice and low. But, there never has been a movement like this. This is a movement the likes of which they’ve never seen before, maybe anywhere, but certainly in this country."
President Trump,"They’ve never seen anything like this before. You came from the mountains and the valleys and the rivers, and you came for … I mean, look, from wherever you came from. There were a lot of you. And, they showed up on election day. I’ll never forget, a wonderful congressman from Tennessee. They have early voting, and one of the earliest places, great state, Tennessee, and he was in Pennsylvania with me, great state. And he said, “You know, sir, I’ve been doing this for a long time, but I’ve never seen people like this show up for early voting. People that haven’t voted in a long time because they didn’t see anybody they wanted to vote for.” He said, “I’ve never seen it. They have Trump banners, and Trump hats, and Trump buttons. I’ve never seen it.”"
President Trump,"This great congressman said, “I don’t know, sir, but I can tell you one thing. If the rest of the country is voting like Tennessee is voting, you’re going to win by a lot.” And, we won, and we won by a lot. We won by a lot. Our nation is stronger today than ever before. The number one economy on earth. No economy is so strong. We’re rebuilding the awesome might of the United States military, and soon it will be stronger relatively speaking than at any time in our history, and when we took over, it was depleted. We took over a depleted military. It’s not depleted anymore, I can tell you that."
President Trump,Our spirit is strong. Our stride is back and our stand is clear. We are finally putting America first. It’s about time.
Crowd,"USA, USA, USA, USA, USA, USA."
President Trump,"We’ve created six million new jobs since election day. Nobody would’ve thought that was possible. More than seven million Americans have been lifted off of food stamps, and they’re happy. They’re happy. 123,000 more Ohio workers are employed today than when I was elected. Think of that number. And, right now, Ohio is the most successful it’s ever been in the history of our country. Thank you. Congratulations, Ohio. Stand up, Mike. And, you have a good governor. I want to tell you that. Good job. Mike."
President Trump,"Unemployment has reached the lowest rate in over half a century and unemployment for African-Americans, Hispanic-Americans and Asian-Americans have all reached the lowest rates ever recorded. While Republicans are working every day to build up our country, the rage-filled Democrat Party is trying to tear America apart. The Democrat Party is now being led by four left wing extremists who reject everything that we hold dear. No one has paid a higher price for the far left’s destructive agenda than Americans living in our nation’s inner cities. They have paid a dear price. Do you see what’s happening?"
President Trump,"You see our inner cities, we spend billions and billions and billions for years and years and years, and it’s stolen money and it’s wasted money and it’s a shame. For decades, these communities have been run exclusively by democratic politicians, and it’s been total one party control of the inner cities. For a hundred years, it’s been one party control and look at them. We can name one after another, but I won’t do that because I don’t want to be controversial. We want no controversy. No controversy. The democrat record is one of neglect and corruption and decay. Total decay. The Democrats have tax and regulated jobs and opportunity out of these cities and out of existence."
President Trump,"They’ve squeezed the blood out of them. Left wing mayors and city councils have opposed school choice, trapping children and failing in government schools left and right. So many of these mayors right now, you know where they are? They’re in jail, that’s where they are. Republicans believe that every parent has the right to send their children to the school of their choice, but the greatest betrayal committed by the Democrats is their support for open borders. These open borders would overwhelm schools and hospitals, drain public services, and flood communities with poisonous drugs."
President Trump,"It’s tough enough, and I want to thank, by the way, the country of Mexico. They’ve got 21,000 soldiers on the border right now. I’m starting to like Mexico a lot. They do a lot more for us than the Democrats do, right? A lot more, a lot more. And, the numbers are way down. You’ll see that. Way, way down. Democrat lawmakers care more about illegal aliens than they care about their own constituents. They put foreign citizens before American citizens. We’re not going to do that. 572 people were murdered in Chicago last year."
Crowd,"USA, USA, USA, USA, USA, USA."
President Trump,"Democrat mayor. Democrat? You must have a democrat mayor? Do you have a democrat mayor? Come on, law enforcement. Democrat mayor. Cincinnati, do you have a democrat mayor? Well, that’s what happens. You see, there are thousands of people outside, and I said, “I agree. We set a new record tonight at this arena, but we could get a few more on the floors, a few more up here.” They’re outside where it’s a hundred degrees out and they weren’t able to let us do it. And I said, “Is that run by the Democrats?” The answer is yes. I said . So, you got a lot of hot people outside, but we broke the all time record."
President Trump,"The homicide rate in Baltimore is significantly higher than El Salvador, Honduras, Guatemala. I believe it’s higher than … Give me a place that you think is pretty bad. Give me a place. The guy says Afghanistan. I believe it’s higher than Afghanistan in our country. Think of that. I believe, we’ll check the numbers and if we’re wrong, they will tell us tomorrow. It’ll be headlines. Trump exaggerated. I do believe the rate is higher than Afghanistan, yet Democrats, and they’ve run it for many years, want to spend hundreds of billions of dollars on illegal migrants instead of supporting their own struggling communities. No good, no good. The conditions in Nancy Pelosi’s once great city of San Francisco are deplorable. They’re deplorable. Do you remember the word deplorable?"
President Trump,"Do you remember when Hillary used the deplorable? She used two words. She used deplorable and irredeemable, right? And only being a politician for a few years. I said what a terrible mistake that she used the word irredeemable, but it turned out to be deplorable. Deplorable was not a good day for Hillary. Crooked Hillary. She is a crooked one She’s crooked. She is crooked. Nearly half of all the homeless people living in the streets in America happen to live in the state of California. What they are doing to our beautiful California is a disgrace to our country. It’s a shame the world is looking at it. Look at Los Angeles, with the tents and the horrible, horrible, disgusting conditions. Look at San Francisco. Look at some of your other cities, and then you have a governor … You have a governor that invites the whole world to come into California. We’ll pay for your healthcare."
President Trump,"Then you wonder why so many people are coming up. They’re coming up because we’re the hottest economic country in the world, but they’re also coming up because you have people like that governor say, “Come on up. We’ll give you healthcare. Come.” Who wouldn’t come up? Who wouldn’t come up? How crazy is this? How crazy is this? Schools, healthcare. Today, I’ve a simple proposal for Democrat leaders to support legislation to end illegal migration, and we will use the vast savings to rebuild our inner cities. That’s the way we should be doing it. That’s what we should be doing. By the way, you know, they keep talking about, ” Oh, the voters, the voters, the voters.” They want all sorts of security. What about a thing called voter ID? Voter identification?"
President Trump,"Rob Portman, please work on that, Rob Portman. You have a great senator. Would you please start working on that? You see the response. Every place I go, Rob. Please, Rob. Voter ID. They give you everything they can give you except voter ID and the things that matter. Republicans believe that a nation must care for its own citizens first. Our pledge to America’s workers has secured commitments to train more than 12 millions Americans for the jobs of tomorrow. You know who’s working very hard on that? You probably never heard of her. Ivanka Trump. She’s working very hard. She gave up a lot. She had a very easy life, but she loves doing it. She’s got over, I think, now 12 million people. They’re teaching them the great companies of our country, they’re teaching people how to do it, and it’s an incredible thing to watch. To give former prisoners a second chance at life, we passed groundbreaking criminal justice reform that nobody could’ve passed except us."
President Trump,"President Obama tried, a lot of them tried, they couldn’t get it passed. I got it passed with a lot of help from liberals and conservatives, and a lot of help. And, the biggest beneficiary is the African-American community. Biggest beneficiary. And, something which a lot of people don’t talk about, but we doubled the child tax credit. Doubled it. Our tax plan also created nearly 9,000 opportunity zones, hottest thing going, providing massive new incentives for investment in job creation in distressed communities."
President Trump,"Left together, I put out a six minute video detailing everything I found unacceptable about liberalism and the Democrat Party."
President Trump,Take your time. Take your time.
President Trump,Walk away.
President Trump,"Doctor? Doctor in the house, please? Okay. Thank you very much. Thank you very much. Thank you. Thank you. Thank you, doctor. Thank you. Don’t forget, it’s a hundred degrees in here. That person’s been standing there for almost a day if you think about it. A lot of you, so I appreciate it. And you know what? They’ll come back. They’ll get a little something and they’ll come right back because there’s never been anything like this. There’s never been anything, right? Never been. Thank you. Incredible."
President Trump,"We established more than 300 opportunity zones in Ohio alone, and these are really working out incredibly well. Nationwide, nearly eight million African-Americans live in opportunity zones, but every democrat voted against them. Every single democrat, because they vote as a block. It’s the only thing they do good. They stick together. Their policies, no good. They’re lousy politicians, but they stick together like glue. It’s the only thing they have. That’s the only thing they have going. Democrats deliver poverty for their constituents and privilege for themselves. Republicans deliver jobs, safety and opportunity for all Americans. We’re thrilled to be joined tonight by many terrific Republican leaders, and we’ll start off with a man who had a very, very tough race for governor. A lot of people choke. They choke like dogs. They can’t breathe, aw. They can’t breathe. This guy was running against a so-called star …"
Crowd,"USA, USA, USA, USA, USA, USA, USA, USA."
President Trump,"So, that’s two protestors, and tomorrow night the headline will be, Protesters, Protesters. You know what happened to the second one? He looked at the guy in front of him and he said, “Ah, I’m out of here. Bye.” That’s the way it works, that’s the way it works, I guess. Too bad. But, a man who really has done a fantastic job, he campaigned so hard, and this was a star right from the fields of the great Pocahontas whose now lying and cheating her way to the presidency, if possible. She’s trying to win, remember? She defrauded people with her credentials. She said she was Indian, and I said that I have more Indian blood than she does, and I have none. I’m sorry."
President Trump,"We drove her crazy. And, we drove her crazy. That’s a good thing, not a bad thing. She went out and she had a blood test done, and it came out 1,024th. He said, ” Somewhere back there, hundreds of years ago, there may have been an Indian. Or it may have been a statistical error because it was so small.” Which, it was. Anyway, but the guy was from her group. You wouldn’t be very happy right now, and we have a man that campaigned so hard, relentless. I came in, we did a rally where we had people like this. It was packed the day before the election and Mike DeWine won that election."
President Trump,"-and Mike Dewine won that election and he won it easily. Mike Dewine. We have a man who’s running for governor of Kentucky again. And he’s done an incredible job. And did you ever hear, sometimes you could do such a good job that not everybody appreciates it? But they had a lot of problems with pensions and a lot of tremendous problems that a normal governor would never have been able to correct. But when you correct it, you make yourself a little bit less popular. But he had no choice and they had no choice. It’s a great, great state and he has turned out to be a great, great governor. Matt Bevin. He’s running in November, and because I like him so much, Matt get a nice big arena ready, we’re going to do a rally for you."
President Trump,"And a man who’s fantastic son is here tonight who I just met, incredible. When I ran with him, he was down. I said, “Rob Portman’s down,” and then about four weeks later he was up by like 24 points. I said, “What the Hell did you do?” And you know what he did? He does a great job. That’s what he did. Senator Rob Portman. Great guy. And we have a few guys that, these are warriors. A couple of them you saw the other day, they were questioning Bob Mueller. That was a beauty. He was sharp, wasn’t he?He was sharp as a tack and Steve Chabot and Brad Wenstrup, and Warren Davidson and Andy Barr and a man named Greg Pence who happens to be a brother of somebody I know very well. They have been with us through thick and thin, and it has been mostly really good times because what we’ve done, no other administration in the first two and a half years in history has done. Thank you fellas. Great job."
President Trump,"A couple of them gave a grilling. They gave a grilling. All they had to do is mention the facts and it was over. And also the auditor of the great state of Ohio, a man whose job I made much easier because you have money pouring in. You have companies pouring in. Keith Faber. How is it Keith? The numbers are good, Keith. Numbers are good, right? Yeah. The numbers are good."
President Trump,"Ohio Senate President, Larry Obhof. Larry, thank you. Great job. Nice tie. I like Larry’s tie."
President Trump,"And you have a couple of people that are very, very powerful. I hear that office and I shudder, Ohio Supreme Court justices, Sharon Kennedy and Judy French. Thank you. Please don’t recuse yourself because I gave you a nice welcome, should I ever be before you. I love judges. When they see you for about two seconds and then you say, oh, that judge should be fair. And then they say, “I’d like to recuse myself because 29 years ago I met Donald Trump.” I’d never have been in… We’ve been doing very well in the courts, by the way. Have you seen? We’ve been winning a lot of cases, a lot of cases. We really have."
President Trump,"179. Percentage wise, it’s the second most. We will never be number one. Sadly we’ll never be number one. So percentage wise, nobody’s ever seen anything like it. And that’s because President Obama basically was not able for about three years to get his people in, which is a shame. And I came in, I had 148 openings. You’re supposed to have none. I said, “How many do we have?” 148. And I said, “You got to be kidding.” And we’ve all done a good job together. It’s been amazing, with Mitch and you and everybody. It’s been amazing. So we’re going to be up to, within two months, 179 federal judges. That’s in two and a half years. And what else? Two great Supreme Court judges. Great ones."
President Trump,"There’s only one person. I think most of you must know this. Who percentage wise has done better than me with judges? Tell me. I’ll give you a hint? He appointed 100% of the federal judges and 100% of the United States Supreme Court. George Washington. That’s one record we’re not going to beat. But I appointed many more than him, so let’s take it that way. Many anymore."
President Trump,"I also want to introduce a friend of mine who’s done an incredible job. She’s really something, she has been incredible as a leader of the GOP. She’s the chair and she’s my friend Jane Timken. And aman Bob Paduchik. You know Bob Paduchik? So Bob, I had to pick campaign manager in Ohio and I kept hearing from the media, “You must win the state of Ohio.” I heard this over and over for like a year and a half. “You must win Ohio. You must win.” So I had to pick a campaign manager and I picked a man named Bob Paduchik. And no matter what happened, no matter how badly we were doing, he said, “Sir, you’re going to win Ohio easily.” I said, “But Bob, we just lost the head of the GOP in Ohio. He left because you have a certain governor that asked him to leave.” Great support from the governor, a different governor than Mike by the way, slightly. So he had to get out. So I said, “We just lost.” And Bob said, “Don’t worry about it, sir. You’re going to win. In fact, I think you just went up.”"
President Trump,"Then we lost a couple of other people. I’d call him. I say, “Bob, I’m worried about Ohio. Very worried.” He said, “Don’t worry about it, sir. I think he just went up.” He kept saying, “You just went up.” I said to somebody, “I don’t know much about this guy, but boy, he’s the most optimistic person I’ve ever met.” True. He said, “Don’t worry.” We ended up winning Ohio by close to nine points, which is unheard of. He was right. Bob Paduchik. Bob."
President Trump,"And also here tonight, I don’t know, did he do a good job? My son, Donald Jr. and Kimberly. I hope he did a good job. Good, I heard you did. I heard you did a great job. He’s been a great help. They both have. Thank you very much. Thank you, Kimberly. Thank you very much. Our shared Republican agenda is pro worker pro jobs, pro family pro growth and 100% pro American. We’ve eliminated a record number of job killing regulations, giving the average American household $3,000 more to spend every single year. The previous administration tried to shut down American energy and close up, totally, close it up. American clean, beautiful coal. That’s what they did. That didn’t work out too well, but you had a suffer. It didn’t work out well, but get a suffer for a long time until I came along. You’re not suffering any longer."
President Trump,"The previous administration, they liked to windmills. If a windmill is within two miles of your house, your house is practically worthless. They make noise, they’re intermittent. They kill your birds. They break down all the time. You have to replace them every 10 years because they wear out, and they cost a fortune and they need subsidy. Other than that, they’re quite good. You don’t want one of those windmills within vision. You hear them, they’re noisy. They’ve got a lot of problems."
President Trump,"No, we’re going to say with the great energy that’s powering our businesses, that’s creating so many jobs. And solar, you know what? We’ll live with solar, but solar is peanuts by comparison to what you need. But we’re going to stay the way we have it. We’ve ended the war on American energy and we’re putting our coal miners back to work and our steelworkers back to work, and our auto companies back to work. We’ve learned over the last three years the incredible gold that were sitting on top of in this country. We’re very lucky. We’re now the largest energy producer in the entire world, bigger than Soviet Union, formerly. Remember the Soviet Union when it was all together. The Soviet Union, when it was all together before they decided we got to call ourselves Russia. When it was all together, they wanted to be, that was always their dream to be the biggest in the world."
President Trump,"Then it became Russia and you know what? They’ve done a good job with energy and so has Saudi Arabia done a good job with energy. But we’re now bigger than Russia. We are now bigger than Saudi Arabia by far. I withdraw our country from the job killing and very expensive Paris Climate Accord. Last year coal export were up 92% compared to 2016. 92%, do you believe that? You’re shipping it all over the world. To Vietnam. I was in Vietnam and they said, “We get coal from Ohio. We get coal from West Virginia. It’s the finest coal in the world.”"
President Trump,"We’ve created more than 110,000 new mining jobs, and thanks to states like Ohio the United States is now the number one producer of oil, the number one producer of natural gas, the number one everything having to do with energy. Number one. Anywhere in the world. We’re reversing decades of calamitous trade policies that led other countries to pillage our jobs, plunder our factories, and devastate Ohio communities and communities in every state. The era of economic surrender is over, and when you look at what they’ve done to your jobs over a period of time, NAFTA was one of the worst deals ever made and probably the worst deal. You still have empty buildings, empty factories, but now they’re getting filled up pretty fast or being knocked down for brand new ones. We have hundreds of new companies pouring into the United States. My first week in office, I withdrew the United States from one of the last administration’s worst sellouts. It would have destroyed our automobile industry. It would have destroyed manufacturing in this country, and maybe that’s what President Obama meant when he said, you can’t produce manufacturing jobs anymore in the United States, because he would’ve signed Trans Pacific Partnership and he would’ve been right. I killed it."
President Trump,"And by the way, TPP, Trans Pacific Partnership would have destroyed the automobile industry in this country already. Already the shipped down 30% of your jobs to Mexico. Under the new USMCA. That’s Mexico and Canada. We’ve got to get them to vote on that because that’s an incredible deal. But under the new… It’s going to be very hard for companies to leave you, to fire you, to go down to make their product, whatever it may be, to send it back into the United States with no tax. All we end up with this unemployment and taxes and empty buildings. So they got to vote, on the USMCA. Before I took office, foreign countries ripped us off, robbed us blind, and pushed us around, but America is not being pushed around anymore. Do you realize that?"
President Trump,"I got that from working in Ohio for two summers. We’ve taken the toughest ever action to stand up to China’s trade abuse, and I just announced another 10% tariff on $300 billion worth of Chinese products that come into our country. And that’s on top of the 25% that we take off $250 billion coming in from China, and don’t let them tell you, the fact is China devalues their currency. They pour money into their system, they pour it in, and because they do that, you’re not paying for those tariffs. China’s paying for those tariffs."
President Trump,"For the last 20 years, China’s taken hundreds and hundreds of billions of dollars out of our country, and now we’re stopping the theft of American jobs. We’re stopping the theft of so many other things happening, including intellectual property. They steal our intellectual property. I think they want to try and make a deal with us, but I’m not sure, because the word is, I feel they want to wait until they get… They’re praying. They’re praying. They would like to see a new president in a year and a half so they could continue to rip off the United States like they’ve been doing for the last 25 years. Would love to see a guy like sleepy Joe Biden who has no clue what the hell he’s doing."
President Trump,"They say to sleepy Joe. Sir, “Just sign right there.” “Oh, okay. I’ll sign.” We’ll be losing hundreds of billions of dollars a year to China. It has to stop but they understand that. President Xi is good man. He’s a friend of mine. He understands it. And until such time as there is a deal, we will be taxing the hell out of China. That’s all there."
President Trump,"make your product in America. Come on back to the United States. Come on back to Ohio. There’s no tariff. There’s no tariff. Thanks to steel tariffs, hundreds of thousands of tons, think of this, were dumped on our shores, and steel is like something else. It’s that quality. They were dumping garbage, they call it sand steel, they call it dirt steel.. It was mixed up. It was bad stuff and we didn’t want to use that for our jet fighters and for our beams that hold up building. But they were dumping tremendous quantities of steel, and what was happening is United States steel and all of our companies were going virtually out of business and I stopped it. I put on a 25% tariff, billions of dollars is now pouring into our treasury and our steel companies and our steel workers are coming back."
President Trump,"Right here in Ohio. Nucor a great steel company, and a steel company that’s doing great again, Nucor, has announced an $85 million upgrade in Marion. Charter Steel announced plans to build a new $150 million steel mill in Cuyahoga Heights, and Cleveland Cliffs announced a new $700 million plant in a very good place that I like a lot, Toledo. Toledo, Ohio."
President Trump,"This was unthinkable because four years ago, steel plans were closing. They weren’t expanding or they weren’t building. We’re building new plants in Florida, North Carolina, South Carolina, all over. Not Just Ohio. On issue after issue, Democrats have forgotten who it is that they’re supposed to represent. They forgot. I wonder why they forgot. The job of elected officials is to represent American citizens, the radical Democrats even support deadly sanctuary cities which release dangerous criminals onto our streets. Sanctuary cities. Many of the places that have sanctuary cities and many of the people that live there, they don’t want them. They don’t want them. They’re dangerous and not good."
President Trump,"Here are just a few examples. In San Francisco, an illegal alien was arrested no fewer than 10 times in the span of less than one year for numerous counts of burglary and theft. Yet each time San Francisco defied federal authorities and set him free and bad things happened when they set him free. A sanctuary jurisdiction in California recently released a criminal alien from jail. The very next month, the same individual was arrested for rape and then beyond anything you would even believe, a horrible thing happened. But yet again, he was released back into your community. After sanctuary city in New Jersey released an alien charged with domestic violence, he was arrested in Missouri for the murders of three people. In the bizarre worldview of the third and hard left, they have no problem destroying the lives of innocent Americans for a single politically incorrect thought."
President Trump,"But they want to virtually, and you know this, they want virtual immunity for illegal aliens who have committed horrible crimes and murder. Horrible crimes and murder. Republicans believe our cities should be a sanctuary for law abiding Americans, not criminal aliens."
President Trump,"And yes just won a big lawsuit last week. In fact, on of my lawyers for winning that lawsuit is here tonight. I gave him a little reprieve. We need a lot of lawyers in the White House. We get sued so much, so unfairly, but we’re winning those lawsuits left and right, but one of them is here. He said, “I’d love to go to a rally.” I said, ” I’m going to a place called Cincinnati, Ohio. You deserve it.” We just won the lawsuit on the wall. Where’s Pat? We just won the lawsuit on the wall. You hear that? We’re building the wall faster and better than ever. It’s time for Democrats to end sanctuary cities and catch and release. You know what you do? You catch them and then you release them and you say, “Would you please report back in four years from now.” But only 2% come back. You know why? Because they’re not the smartest. They are not the smartest. They’re the ones we don’t want to have come back. Only 2% show up. Catch and release, we could end it immediately if the Democrats caved. So what we’re doing is something else. We’re keeping them out altogether. We’re replacing random migraines and we’re replacing the lottery system. How about the lottery system? How about lotteries?"
President Trump,"This was chuck Schumer. You put the name in a basket. The country puts the name in a basket and you picked people out of the lottery. Well, let’s see. This one’s a murderer. This one robbed four banks. This one, I better not say. This one, another murder. Ladies and gentlemen, another murderer. Think of this. Do you think they’re going to put great citizens… they have great citizens, they have great people like we have great people. Do you think those people are going into a lottery? No. And then we get these people coming in and we hold it against the country. The country isn’t based on that, the country, you just take a look, look at the people they put into these lotteries. It’s a disgrace. And how we’ve done this for so many years folks, how we’ve done this. It’s an immigration system that’s totally broken and we’re going to win the House, we’re going to win the Senate, we’re going to win the presidency and we’re going to do a merit based immigration system. Merit based."
President Trump,"Merit based immigration. And we need that because we have companies coming in from all over the world and we need good workers. We need good people. We’re down to 3.5% unemployment. We need people, but we want people to come in based on merit, not based on some lottery put in by a governor. Democrats have never been farther outside the mainstream. Liberal politicians want to eliminate private-"
President Trump,"Dream. Liberal politicians want to eliminate private healthcare and force everyone onto the government plan. Remember the lies from the previous administration. If you like your plan, you can keep your plan. If you like your doctor, you can keep your doctor. 28 time, one lie after another. 28 times it was said and it turned out to be a total lie. My administration is defending your right to choose the plan and doctor that is best for you."
President Trump,We’re offering right now plans up to 60% cheaper than Obamacare and we will always protect patients with pre existing conditions. Always. Always. Virtually every top Democrat also now supports late term abortion.
President Trump,"And then you’ll have like a governor of Virginia, it’s not only late term abortion, it’s killing the baby after the baby is born. How about that? Think of that. Think of that. That’s why I’ve asked Congress to prohibit extreme late term abortion because Republicans believe that every child is a sacred gift from God."
President Trump,"Democrats are now the party of high taxes, high crime, open borders, late term abortion, and they’re the party, frankly, of socialism."
President Trump,"The Republican Party is the party of freedom. We’re the party of the American worker, the American family. We’re the party of the American dream. I’m fighting for you each and every day. I had a great life. I used to get great publicity. Nobody got better… I had such a great life. It was so easy. My great wife, the first lady, Melania, she said, “You know, you’ve always been a hard worker. You love to work, but your life was a lot easier in the old days.” But I love it and you know why I love it? Because we’re accomplishing so much. Nobody ever thought it would be possible to do the things we’re doing."
